id;latitude;longitude;geometry;name;cuisine;operator;street;city;postcode;housenumber;phone;email;website;type
247887464;46.0718261;11.1404686;POINT (11.1404686 46.0718261);Dal Boccia;"pasta;pizza;regional;seafood";;Via degli Alberti Poja;;38121-38123;13;+39 0461 437903;;;restaurant
258441546;45.9171651;11.0531014;POINT (11.0531014 45.9171651);"Pizzeria ""Le palme""";pizza;;Via Panizza;;;56;+39 0464 411201;;;restaurant
259973562;46.1096102;11.1402622;POINT (11.1402622 46.1096102);Il bosco incantato;;;Via del Lavaron;Trento;;2;+39 0461 960826;;;restaurant
260573164;46.2730274;11.4165704;POINT (11.4165704 46.2730274);Bar Sport;;;;;;;;;;bar
261081650;46.280372;11.4349689;POINT (11.4349689 46.280372);Bar La Torre;;;;;;;;;;cafe
261081683;46.2789911;11.4354671;POINT (11.4354671 46.2789911);Agritur;;;;;;;;;;restaurant
261086637;46.2712502;11.417343;POINT (11.417343 46.2712502);Pizzeria La Ruota;;;;;;;;;;restaurant
261086638;46.2814562;11.4346433;POINT (11.4346433 46.2814562);Bar caffè Castello;;;Via Roma;;;9;+39 0462 340033;;;cafe
261664578;46.285474;11.5420016;POINT (11.5420016 46.285474);Unnamed;;;;;;;;;;pub
267649391;46.2148653;11.1168418;POINT (11.1168418 46.2148653);Crown;pizza;;Via Fratelli Grandi;Mezzocorona;38016;;;;;restaurant
268401562;46.0677279;11.1210128;POINT (11.1210128 46.0677279);Caffè Portici;;Filippo Aldo;Piazza del Duomo;Trento;38122;40;+39 0461 092622;;;cafe
268401567;46.0677511;11.1220676;POINT (11.1220676 46.0677511);Bar Pasi;;Botto W. s.n.c.;Piazza Mario Pasi;Trento;38122;1;+39 0461 982301;barpasi.tn@gmail.com;;cafe
268421250;46.0856765;11.2153436;POINT (11.2153436 46.0856765);Ristorante Argentino ¨Sapori di Patagonia¨;;;;;;;;;;restaurant
268430904;46.0674055;11.1243864;POINT (11.1243864 46.0674055);Dalla Sora Giovanna;;La & Gio Srls;Via Roggia Grande;Trento;38122;8;+39 0461 095967;;https://dallasoragiovanna.it/;restaurant
268430906;46.0672711;11.1256418;POINT (11.1256418 46.0672711);PatriK;;;;;;;;;;bar
268430908;46.067111;11.1242606;POINT (11.1242606 46.067111);Jo Bar;;;Via Calepina;Trento;38122;29;;;;cafe
268432521;46.066267;11.1229923;POINT (11.1229923 46.066267);Trattoria Al Tino;;;Via Santissima Trinitá;Trento;38122;10;;;;restaurant
268435080;46.0659754;11.1238802;POINT (11.1238802 46.0659754);Trattoria Al Mercato;;;Piazza Giovanni Battista Garzetti;Trento;38122;15;;;;restaurant
268435081;46.0658302;11.1236344;POINT (11.1236344 46.0658302);Borgo Nuovo Trento;"fish;pizza";Altin Plaku S.N.C.;Prima Androna di Borgo Nuovo;Trento;38122;20;+39 0461 261375;info@3portoni.it;http://3portoni.it/;restaurant
268436704;46.0656259;11.1244955;POINT (11.1244955 46.0656259);Uva & Menta Café;;Uva & Menta di Menta Maurizio;Piazza Giovanni Battista Garzetti;Trento;38122;5;+39 0461 231801;uvaementa@yahoo.it;http://www.uvaementa.it;cafe
268440165;46.0675591;11.1265373;POINT (11.1265373 46.0675591);Caffè Venezia;;;Largo Porta Nuova;Trento;38122;11;+39 0461 262938;;;cafe
268440174;46.0683129;11.1243598;POINT (11.1243598 46.0683129);Caffé Randrè;;Randrè S.N.C.;Largo Giosuè Carducci;Trento;38122;18;+39 0461 234701;;;bar
268440175;46.0688139;11.1261792;POINT (11.1261792 46.0688139);Kafè Matrix;;;Via Francesco Ferruccio;Trento;38122;2/2;;;;cafe
268803099;46.2779665;11.4452067;POINT (11.4452067 46.2779665);Agritur Maso Sorte;regional;;;;;;;;;restaurant
269084179;46.1314238;11.2466976;POINT (11.2466976 46.1314238);Lion's Cafe;;;;;;;;;;pub
269142258;46.1351027;11.2502242;POINT (11.2502242 46.1351027);Imbarcadero;;;;;;;;;;pub
269145543;45.8949163;10.8702292;POINT (10.8702292 45.8949163);Alla Grotta;swiss;;Via Monte Brione;Arco;38062;5;+39 0464 553244;;http://allagrotta.com;restaurant
269193730;46.0647702;11.123413;POINT (11.123413 46.0647702);Birreria Pizzeria Pedavena;;Ghesla Andrea;Piazza di Fiera;Trento;38122;13;+39 0461 986255;info@birreriapedavena.com;http://www.birreriapedavena.com;restaurant
269193732;46.0644782;11.1232307;POINT (11.1232307 46.0644782);Trattoria al Volt;"italian;regional";;Via Santa Croce;Trento;38122;16;+39 0461 983776;trattoria_al_volt@yahoo.it;http://tienne.it/alvolt/;restaurant
269348441;46.191649;11.2594179;POINT (11.2594179 46.191649);Snack Bar;;;;;;;;;;cafe
269348445;46.1601698;11.2345535;POINT (11.2345535 46.1601698);Albergo Dolomiti;;;;;;;;;;restaurant
269348447;46.1504823;11.2223731;POINT (11.2223731 46.1504823);Bar Esso;;;;;;;;;;cafe
269348458;46.1450325;11.2003238;POINT (11.2003238 46.1450325);Pizza;;;;;;;;;;fast_food
269348462;46.1479833;11.1879786;POINT (11.1879786 46.1479833);Bar Stella;;;;;;;;;;cafe
269349970;46.1120073;11.2108405;POINT (11.2108405 46.1120073);Bar Alla Valle;;;;;;;;;;cafe
269354624;46.0820622;11.1959831;POINT (11.1959831 46.0820622);Bar Alla Mochena;;;;;;;;;;cafe
269356399;46.0683757;11.2539178;POINT (11.2539178 46.0683757);Pizzeria Anna;;;;;;;;;;restaurant
269358762;46.2217887;11.3143086;POINT (11.3143086 46.2217887);Bar Vittoria;;;;;;;;;;cafe
